cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,temperature,timestamp,unknown_134,unknown_135,unknown_136,unknown_87,unknown_90
92,3.62,104.60000000000002,2.034,0.0,126,298100153,1446988018,30,2025-03-25 23:20:02,,72,126,0.0,
92,6.62,104.60000000000002,2.398,0.0,128,298099945,1446988300,30,2025-03-25 23:20:03,,57,128,0.0,
92,16.24,104.39999999999998,3.107,0.0,131,298099568,1446989366,30,2025-03-25 23:20:06,,44,131,0.0,
88,23.12,104.20000000000005,3.508,0.5,132,298099528,1446990227,30,2025-03-25 23:20:08,,44,132,0.0,
88,43.91,104.20000000000005,3.49,0.0,134,298099565,1446992677,30,2025-03-25 23:20:14,,25,134,0.0,
88,47.42,104.39999999999998,3.49,0.0,134,298099551,1446993092,30,2025-03-25 23:20:15,,25,134,0.0,
90,68.25,104.60000000000002,3.378,0.0,135,298099467,1446995530,30,2025-03-25 23:20:21,,18,135,0.0,
90,74.07,104.60000000000002,3.34,0.0,135,298099353,1446996206,30,2025-03-25 23:20:23,,18,135,,
90,96.49,104.79999999999995,3.275,0.0,136,298099253,1446998859,30,2025-03-25 23:20:30,,7,136,0.0,
90,106.02,104.79999999999995,3.219,0.0,137,298099221,1446999984,30,2025-03-25 23:20:33,,7,137,0.0,
90,121.26,105.0,3.135,0.0,139,298099711,1447001633,30,2025-03-25 23:20:38,,2,139,0.0,
91,136.19,104.79999999999995,3.088,0.0,140,298101099,1447002513,30,2025-03-25 23:20:43,,2,140,0.0,
90,157.58,104.60000000000002,3.023,0.0,140,298103381,1447002035,30,2025-03-25 23:20:49,,2,140,881.0,
90,174.57,105.0,3.023,0.0,140,298104788,1447000710,30,2025-03-25 23:20:54,,2,140,881.0,
90,194.94,104.60000000000002,3.079,0.0,142,298105321,1446998416,30,2025-03-25 23:21:01,,2,142,0.0,
88,209.23,104.60000000000002,3.144,0.0,142,298105197,1446996796,30,2025-03-25 23:21:06,,2,142,0.0,
90,224.68,104.60000000000002,3.07,0.5,143,298105316,1446994917,30,2025-03-25 23:21:11,,2,143,0.0,
89,246.43,104.0,3.088,0.0,143,298105540,1446992358,30,2025-03-25 23:21:17,,2,143,894.0,
89,250.33,104.0,3.098,0.0,143,298105583,1446991878,30,2025-03-25 23:21:18,,2,143,894.0,
89,256.59,104.20000000000005,3.154,0.0,143,298105636,1446991139,30,2025-03-25 23:21:20,,2,143,894.0,
89,269.49,104.60000000000002,3.191,0.0,144,298105542,1446989636,30,2025-03-25 23:21:24,,2,144,,
88,286.94,104.60000000000002,3.088,0.0,146,298104620,1446987933,30,2025-03-25 23:21:30,,2,146,0.0,
89,305.15,104.60000000000002,2.986,0.0,147,298102700,1446987331,29,2025-03-25 23:21:36,,2,147,0.0,
87,322.67,105.20000000000005,2.939,0.0,148,298100929,1446987875,29,2025-03-25 23:21:42,,2,148,0.0,
86,344.91,105.0,2.902,0.0,150,298099720,1446990056,29,2025-03-25 23:21:49,,2,150,,
86,364.81,105.0,2.976,0.0,152,298099509,1446992410,29,2025-03-25 23:21:55,,2,152,0.0,
87,380.56,105.60000000000002,3.023,0.0,152,298099526,1446994264,29,2025-03-25 23:22:00,,2,152,0.0,
88,389.77,105.60000000000002,3.042,0.0,152,298099530,1446995347,29,2025-03-25 23:22:03,,2,152,0.0,
87,410.58,105.79999999999995,3.088,0.0,152,298099299,1446997808,29,2025-03-25 23:22:09,,2,152,0.0,
87,423.73,106.20000000000005,3.107,0.0,152,298099161,1446999357,29,2025-03-25 23:22:13,,2,152,0.0,
87,443.94,105.39999999999998,3.144,0.0,154,298099734,1447001609,29,2025-03-25 23:22:19,,2,154,0.0,
88,461.03,106.20000000000005,3.154,0.0,154,298101396,1447002500,29,2025-03-25 23:22:25,,2,154,0.0,
89,463.87,106.20000000000005,3.154,0.0,154,298101699,1447002564,29,2025-03-25 23:22:26,,2,154,0.0,
87,481.39,105.0,3.154,0.0,154,298103545,1447002103,29,2025-03-25 23:22:31,,2,154,0.0,
88,498.07,106.39999999999998,3.144,0.0,152,298104906,1447000848,29,2025-03-25 23:22:37,,2,152,0.0,
88,506.9,104.60000000000002,3.135,0.0,152,298105327,1446999960,29,2025-03-25 23:22:40,,2,152,0.0,
89,512.4,104.60000000000002,3.135,0.0,153,298105071,1446999267,29,2025-03-25 23:22:42,,2,153,0.0,
87,534.48,104.60000000000002,3.051,0.0,153,298105148,1446996654,29,2025-03-25 23:22:48,,2,153,0.0,
87,543.71,104.60000000000002,3.116,0.0,152,298105371,1446995584,29,2025-03-25 23:22:51,,2,152,0.0,
87,566.03,104.0,3.126,0.5,153,298105575,1446992954,29,2025-03-25 23:22:57,,2,153,0.0,
87,573.49,104.0,3.172,0.5,154,298105670,1446992072,29,2025-03-25 23:22:59,,2,154,0.0,
88,593.97,104.39999999999998,3.247,0.0,154,298105756,1446989636,29,2025-03-25 23:23:05,,2,154,881.0,
89,597.12,104.60000000000002,3.256,0.0,154,298105730,1446989265,29,2025-03-25 23:23:06,,2,154,894.0,
89,613.91,104.79999999999995,3.331,0.0,155,298104707,1446987631,29,2025-03-25 23:23:11,,2,155,0.0,
89,631.52,104.60000000000002,3.359,0.0,156,298102945,1446987006,29,2025-03-25 23:23:17,,2,156,0.0,
