cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,temperature,timestamp,unknown_134,unknown_135,unknown_136,unknown_87,unknown_90,activity_event,activity_event_group,activity_event_type,activity_local_timestamp,activity_num_sessions,activity_timestamp,activity_total_timer_time,activity_type,activity_unknown_7,device_ant_device_number,device_ant_network,device_ant_transmission_type,device_battery_status,device_battery_voltage,device_cum_operating_time,device_device_index,device_device_type,device_garmin_product,device_hardware_version,device_manufacturer,device_sensor_position,device_serial_number,device_software_version,device_source_type,device_timestamp,device_unknown_13,device_unknown_15,device_unknown_16,device_unknown_17,device_unknown_23,device_unknown_24,device_unknown_29,device_unknown_30,device_unknown_31,device_unknown_32,device_unknown_8,device_unknown_9
53,0.0,104.60000000000002,1.288,0.5,93,298103923,1446992939,28,2025-03-27 23:26:56,,147,93,0.0,,activity,,stop,2025-03-28 07:37:12,1,2025-03-27 23:37:12,545.08,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-27 23:26:56,,,,,,,"(None, None, None, None, None, None)",,,,,
55,3.89,104.60000000000002,1.316,0.0,90,298104308,1446992163,28,2025-03-27 23:26:58,,108,90,0.0,,activity,,stop,2025-03-28 07:37:12,1,2025-03-27 23:37:12,545.08,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-27 23:26:56,,,,,,,"(None, None, None, None, None, None)",,,,,
55,11.65,104.60000000000002,1.586,0.0,87,298104677,1446991169,28,2025-03-27 23:27:00,,72,87,0.0,,activity,,stop,2025-03-28 07:37:12,1,2025-03-27 23:37:12,545.08,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-27 23:26:56,,,,,,,"(None, None, None, None, None, None)",,,,,
90,32.11,104.60000000000002,2.771,0.5,89,298104816,1446988778,28,2025-03-27 23:27:05,,72,89,0.0,,activity,,stop,2025-03-28 07:37:12,1,2025-03-27 23:37:12,545.08,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-27 23:26:56,,,,,,,"(None, None, None, None, None, None)",,,,,
91,42.22,105.0,3.275,0.0,92,298104210,1446987723,28,2025-03-27 23:27:08,,88,92,0.0,,activity,,stop,2025-03-28 07:37:12,1,2025-03-27 23:37:12,545.08,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-27 23:26:56,,,,,,,"(None, None, None, None, None, None)",,,,,
92,48.89,105.39999999999998,3.415,0.0,95,298103692,1446987170,28,2025-03-27 23:27:10,,108,95,0.0,,activity,,stop,2025-03-28 07:37:12,1,2025-03-27 23:37:12,545.08,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-27 23:26:56,,,,,,,"(None, None, None, None, None, None)",,,,,
92,52.52,105.39999999999998,3.434,0.0,96,298103349,1446986942,27,2025-03-27 23:27:11,,129,96,0.0,,activity,,stop,2025-03-28 07:37:12,1,2025-03-27 23:37:12,545.08,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-27 23:26:56,,,,,,,"(None, None, None, None, None, None)",,,,,
92,59.21,105.20000000000005,3.452,0.0,102,298102690,1446986600,27,2025-03-27 23:27:13,,147,102,0.0,,activity,,stop,2025-03-28 07:37:12,1,2025-03-27 23:37:12,545.08,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-27 23:26:56,,,,,,,"(None, None, None, None, None, None)",,,,,
91,62.33,105.20000000000005,3.452,0.0,101,298102350,1446986577,27,2025-03-27 23:27:14,,162,101,0.0,,activity,,stop,2025-03-28 07:37:12,1,2025-03-27 23:37:12,545.08,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-27 23:26:56,,,,,,,"(None, None, None, None, None, None)",,,,,
90,69.41,105.20000000000005,3.564,0.0,104,298101586,1446986728,27,2025-03-27 23:27:16,,176,104,0.0,,activity,,stop,2025-03-28 07:37:12,1,2025-03-27 23:37:12,545.08,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-27 23:26:56,,,,,,,"(None, None, None, None, None, None)",,,,,
